Timestamp,1. Bạn đang là?,2. Bạn đang ở năm học nào?,3. Mỗi học kỳ bạn thường tham gia bao nhiêu dự án/công việc nhóm?,4. Nhóm của bạn thường có bao nhiêu người?,5. Bạn dùng công cụ nào để quản lý công việc nhóm? (Chọn nhiều),6. Việc phân công công việc hiện tại diễn ra thế nào? (Chọn 1 nổi bật nhất),7. Bạn hài lòng đến đâu với cách phân công hiện tại?,8. Bạn từng gặp những khó khăn nào khi làm việc nhóm? (Chọn nhiều),"9. Tần suất của tình trạng ""người thì quá tải, người thì rảnh""?",10. Bạn có từng nhận công việc không đúng chuyên môn của mình không?,"11. Mức độ hữu ích của tính năng ""tự gợi ý ai nên làm việc gì"" (dựa trên kỹ năng)?","12. Mức độ hữu ích của tính năng ""tự sinh timeline/Gantt ước tính""?","13. Mức độ hữu ích của tính năng ""cảnh báo quá tải / rủi ro trễ deadline""?",14. Bạn có sẵn sàng dùng công cụ này cho dự án tiếp theo không?,15. Điều gì khiến bạn ngại nhất khi chuyển sang dùng công cụ mới? (Chọn tối đa 2),16. Tính năng nào bạn mong muốn có thêm ở công cụ này?,17. Bạn có góp ý hoặc ý tưởng nào khác không?
8/9/2026 16:50:22,Người đi làm,Không phải sinh viên,3–4 lần,4–5 người,"Messenger, Zalo, nhóm chat, Google Sheets / Google Docs",Cả nhóm họp bàn và thống nhất,8,"Mất cân bằng khối lượng việc giữa các thành viên, Bị giao việc không đúng kỹ năng/sở trường",Thỉnh thoảng,Thỉnh thoảng,4,4,4,Chắc chắn có,Mất thời gian học cách dùng,,
8/9/2026 17:28:22,Sinh viên,Năm 4+,3–4 lần,4–5 người,"Messenger, Zalo, nhóm chat, Google Sheets / Google Docs",Trưởng nhóm tự quyết định và giao việc,7,Khó theo dõi tiến độ của cả nhóm,Thỉnh thoảng,Thường xuyên,4,3,4,Có thể,"Mất thời gian học cách dùng, Cấu hình quá phức tạp",,
8/16/2026 16:16:43,Sinh viên,Năm 3,3–4 lần,4–5 người,"Messenger, Zalo, nhóm chat, Google Sheets / Google Docs",Trưởng nhóm tự quyết định và giao việc,6,Mất cân bằng khối lượng việc giữa các thành viên,Thỉnh thoảng,Thỉnh thoảng,5,4,5,Chắc chắn có,Mất thời gian học cách dùng,Cảnh báo deadline tự động gửi vào nhóm chat,"Mong nhanh — bắt đầu dùng ngay được, không cần cấu hình nhiều"
8/16/2026 16:18:09,Sinh viên,Năm 4+,5 lần trở lên,6 người trở lên,"Messenger, Zalo, nhóm chat, Trello, Notion, Asana, Jira",Dựa trên kỹ năng và khối lượng hiện có của từng người,7,"Không rõ nhiệm vụ, deadline của mình",Thường xuyên,Hiếm khi,5,5,4,Chắc chắn có,Cấu hình quá phức tạp," Xem được ai đang rảnh, ai đang quá tải trong tuần này",Nên có chế độ dùng thử miễn phí cho nhóm sinh viên
8/16/2026 16:19:31,Sinh viên,Năm 3,3–4 lần,4–5 người,"Messenger, Zalo, nhóm chat, Email",Cả nhóm họp bàn và thống nhất,5,Mất cân bằng khối lượng việc giữa các thành viên,Thường xuyên,Thỉnh thoảng,4,4,5,Có thể,Mất thời gian học cách dùng,Đề xuất phân công có thể chỉnh sửa thủ công trước khi chốt,
8/16/2026 16:22:41,Sinh viên,Năm 4+,3–4 lần,4–5 người,"Messenger, Zalo, nhóm chat, Google Sheets / Google Docs",Trưởng nhóm tự quyết định và giao việc,6,"Xung đột, nhắc nhở nhiều lần",Thỉnh thoảng,Hiếm khi,4,4,4,Chắc chắn có,"Thay đổi cách dùng / thói quen (đang dùng chat, bảng tính), Không muốn bị công cụ khuyến nghị phân công",Lưu lịch sử các lần phân công để so sánh sau mỗi dự án,Nên hiển thị mức độ đóng góp của từng người một cách công bằng
8/16/2026 16:23:46,Sinh viên,Năm 2,1–2 lần,2–3 người,"Messenger, Zalo, nhóm chat",Cả nhóm họp bàn và thống nhất,7,"Không rõ nhiệm vụ, deadline của mình",Thỉnh thoảng,Thỉnh thoảng,5,3,4,Có thể,Mất thời gian học cách dùng,"Đơn giản, phù hợp nhóm nhỏ 2–3 người",
8/16/2026 16:25:14,Sinh viên,Năm 2,3–4 lần,4–5 người,"Messenger, Zalo, nhóm chat, Google Sheets / Google Docs",Cả nhóm họp bàn và thống nhất,5,"Mất cân bằng khối lượng việc giữa các thành viên, Không rõ nhiệm vụ, deadline của mình",Thường xuyên,Thường xuyên,4,3,4,Chắc chắn có,Không ngại điều gì,Thông báo khi mình sắp quá tải để kịp chia sẻ việc,
8/16/2026 16:26:41,Sinh viên,Năm 1,1–2 lần,4–5 người,"Messenger, Zalo, nhóm chat",Trưởng nhóm tự quyết định và giao việc,4,"Không rõ nhiệm vụ, deadline của mình, Bị giao việc không đúng kỹ năng/sở trường",Thường xuyên,Thường xuyên,3,4,3,Có thể,"Mất thời gian học cách dùng, Cấu hình quá phức tạp","Dễ dùng trên điện thoại, không cần cài thêm gì",
8/16/2026 16:27:40,Sinh viên,Năm 2,3–4 lần,2–3 người,"Messenger, Zalo, nhóm chat, Google Sheets / Google Docs",Cả nhóm họp bàn và thống nhất,6,Khó theo dõi tiến độ của cả nhóm,Thỉnh thoảng,Hiếm khi,4,4,5,Chắc chắn có,"Thay đổi cách dùng / thói quen (đang dùng chat, bảng tính)",Checklist công việc rõ ràng theo từng thành viên,
